system,workload,rate,n_seeds,requests_in_window,completed,failed,offered_load_req_s,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,ttft_attainment,tpot_attainment,joint_attainment,throughput_req_s,goodput_req_s,output_token_throughput,prompt_token_throughput,migrations_alg1,migrations_proto,activations,deactivations,idle_evictions,alg1_cycles,kvpr_peak_mean,kvpr_peak_cv,kvpr_improvement_mean,kvpr_improvement_std,kvpr_improvement_max,alg2_rounds,alg2_eligible,alg2_selected,alg2_deferred,alg2_requeued,alg2_late_dispatched,alg2_selected_ratio,alg2_pathological_rounds,alg2_max_zero_streak,alg2_underadmission_warnings,mean_queue_length,max_queue_length
paper-faithful,bursty,1,1,310.0,310.0,0.0,1.0333333333333334,221.93844395299112,86.8828296661377,368.3705091476443,4228.496043682099,30.63000925249114,29.991830141427368,45.464922892121045,55.177767358043006,0.9419354838709677,0.7967741935483871,0.7580645161290323,1.0333333333333334,0.7833333333333333,164.72,305.53,1.0,1.0,8.0,10.0,9.0,86.0,12900193.115960183,0.3838117892041455,0.15283245946065763,0.11267150202650462,0.39208124154353446,330.0,337.0,327.0,10.0,0.0,10.0,0.9703264094955489,0.0,0.0,0.0,1.0212121212121212,3.0
released-prototype,bursty,1,1,310.0,310.0,0.0,1.0333333333333334,203.0859831840761,85.43813228607178,342.0081973075869,3908.5330748558144,30.623383006099758,28.973029407627518,48.491925746202476,57.3924537003041,0.9483870967741935,0.7096774193548387,0.667741935483871,1.0333333333333334,0.69,164.72,305.53,0.0,2.0,8.0,11.0,9.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
paper-faithful,steady,1,1,303.0,303.0,0.0,1.01,110.04007767529377,95.46685218811035,256.7433834075923,583.1126117706317,32.357331189213724,30.791665896896486,51.4096108274263,58.45669579632743,0.9603960396039604,0.7392739273927392,0.7161716171617162,1.01,0.7233333333333334,160.55,282.00333333333333,4.0,4.0,0.0,4.0,0.0,88.0,12783910.917340785,0.42379962481462974,0.15069515328911842,0.13490121796120894,0.4146842724084241,360.0,367.0,367.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0194444444444444,3.0
released-prototype,steady,1,1,303.0,303.0,0.0,1.01,85.13289552317201,74.4783878326416,155.2027702331543,304.4085597991952,32.25636532883845,31.784842996036303,45.93327671289443,52.41307199001313,0.9933993399339934,0.7557755775577558,0.7524752475247525,1.01,0.76,160.55,282.00333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
paper-faithful,bursty,10,1,3049.0,3049.0,0.0,10.163333333333334,214.18764255757645,114.7468090057373,652.7147769927977,2374.261569976806,70.14097806572406,56.74369012316068,155.36920179923374,244.4441751848187,0.9124303050180387,0.12922269596589045,0.12430305018038701,10.163333333333334,1.2633333333333334,1681.4066666666668,3190.0533333333333,0.0,0.0,6.0,7.0,7.0,88.0,133109883.0322491,0.40915307315799776,0.1635623097936617,0.10368477373711117,0.33846235036415784,1043.0,1134.0,1091.0,43.0,0.0,43.0,0.9620811287477954,0.0,0.0,0.0,1.1006711409395973,15.0
released-prototype,bursty,10,1,3049.0,3049.0,0.0,10.163333333333334,513.9271018152434,112.56766319274902,1184.0867519378633,8369.5641326904,67.33133633272416,52.538514137268066,149.2275315440363,291.6943275488189,0.8897999344047228,0.19121023286323385,0.17677927189242373,10.163333333333334,1.7966666666666666,1681.4066666666668,3190.0533333333333,0.0,5.0,6.0,12.0,7.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01005586592178771,3.0
paper-faithful,steady,10,1,3000.0,3000.0,0.0,10.0,121.20695058504741,106.28771781921387,225.43389797210682,412.54503488540615,51.66519293289432,48.45972037151708,79.42694423028233,99.34266537427895,0.9763333333333334,0.14733333333333334,0.14466666666666667,10.0,1.4466666666666668,1672.03,3084.3133333333335,0.0,0.0,0.0,0.0,0.0,87.0,97070973.50707312,0.2249012447135788,-0.01752111398235334,0.11160754122321398,0.2505433803800923,1204.0,1255.0,1255.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0423588039867109,3.0
released-prototype,steady,10,1,3000.0,3000.0,0.0,10.0,116.24995525677998,103.19674015045166,226.48848295211786,336.2079453468318,49.88272471378516,47.97857677614366,74.31949593501383,88.78947467396132,0.9756666666666667,0.15366666666666667,0.152,10.0,1.52,1672.03,3084.3133333333335,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
paper-faithful,bursty,2,1,627.0,627.0,0.0,2.09,217.21487372305594,95.23725509643555,345.3386068344103,4279.175906181336,35.491218439124395,34.733062566712846,51.53852094237394,68.03869038820268,0.9330143540669856,0.6427432216905901,0.6124401913875598,2.09,1.28,345.12333333333333,630.5966666666667,1.0,1.0,6.0,8.0,7.0,87.0,26564772.39431,0.3896069014509264,0.13912298878640936,0.1253108220299528,0.43695734262050406,512.0,527.0,510.0,17.0,0.0,17.0,0.967741935483871,0.0,0.0,0.0,1.029296875,6.0
released-prototype,bursty,2,1,627.0,627.0,0.0,2.09,198.74866803487143,94.63262557983398,257.22827911376913,3966.818156242371,34.719358895087474,34.49902859601107,52.633891222269575,67.55641927321754,0.9457735247208932,0.6108452950558214,0.5741626794258373,2.09,1.2,345.12333333333333,630.5966666666667,0.0,3.0,6.0,10.0,7.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
paper-faithful,steady,2,1,601.0,601.0,0.0,2.0033333333333334,102.68934990919371,93.48583221435547,186.34557723999023,346.35114669799805,37.411972126678826,37.1382770438989,51.505153829401195,63.80970776081085,0.9717138103161398,0.5008319467554077,0.49916805324459235,2.0033333333333334,1.0,331.89666666666665,577.5166666666667,0.0,0.0,0.0,0.0,0.0,87.0,20666829.547127284,0.2956369150120354,0.03585299038529258,0.14013674737100784,0.3114167740311041,554.0,564.0,564.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0180505415162455,3.0
released-prototype,steady,2,1,601.0,601.0,0.0,2.0033333333333334,99.82204278574609,90.24310111999512,172.89471626281738,379.61769104003906,36.21114455185813,36.15569791932037,48.12741279602051,55.17484247684479,0.9883527454242929,0.5457570715474209,0.5440931780366056,2.0033333333333334,1.09,331.89666666666665,577.5166666666667,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
paper-faithful,bursty,8,1,2412.0,2412.0,0.0,8.04,230.58513750879723,109.32362079620361,825.695705413816,2764.834742546073,59.5076906237589,50.84568576576158,114.42883199895434,182.9237030905023,0.906301824212272,0.18407960199004975,0.17371475953565504,8.04,1.3966666666666667,1329.12,2457.806666666667,0.0,0.0,6.0,7.0,7.0,88.0,111380494.67734402,0.4411571165711509,0.15796499559665872,0.08893485801284225,0.31577886510870196,967.0,1049.0,1002.0,47.0,1.0,46.0,0.9551954242135366,0.0,0.0,0.0,1.092037228541882,16.0
released-prototype,bursty,8,1,2412.0,2412.0,0.0,8.04,195.92885561843417,107.05530643463135,601.453578472136,1739.8142790794366,54.506188281455884,49.58177825923692,95.16438440136282,138.0538708497496,0.9249585406301825,0.22056384742951907,0.20356550580431176,8.04,1.6366666666666667,1329.12,2457.806666666667,0.0,2.0,6.0,9.0,7.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.016835016835016835,9.0
paper-faithful,steady,8,1,2412.0,2412.0,0.0,8.04,136.03424492167005,104.30002212524414,235.04537343978873,930.1631832122748,49.13012143754883,46.483768460651234,69.09993439912796,105.90838293234499,0.9622719734660033,0.17495854063018243,0.1724709784411277,8.04,1.3866666666666667,1318.16,2474.2033333333334,0.0,0.0,0.0,0.0,0.0,87.0,78519363.37474214,0.2195749399247493,-0.011785286611733711,0.10231314039505834,0.16598779520480983,1117.0,1159.0,1159.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.037600716204118,3.0
released-prototype,steady,8,1,2412.0,2412.0,0.0,8.04,117.36048503499323,105.2405834197998,219.19294595718378,363.928186893463,48.79846259224203,46.89206859859335,70.80942889576714,86.05762149742303,0.9738805970149254,0.1612769485903814,0.16003316749585406,8.04,1.2866666666666666,1318.16,2474.2033333333334,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
